trf_id	logFC	logCPM	F	PValue	FDR
tRF-16-0RYNURD	-4.15703257945562	6.3220292582235	224.042144151978	3.08304533279178e-45	1.54152266639589e-41
tRF-18-R959KUD4	-3.89997082746836	6.23199618186288	190.584243219357	2.39645909679874e-39	5.99114774199686e-36
tRF-19-R959KU1Y	-3.5327084735067	6.05307149516947	163.957627693305	1.80228963764472e-34	3.00381606274119e-31
tRF-20-7SERM492	-3.56675940019861	5.91774931693962	163.915669649325	2.86352405222153e-34	3.57940506527691e-31
tRF-22-7SIRMM121	-3.5278648860924	7.60221878748279	156.915627638701	1.04390712537802e-32	1.04390712537802e-29
tRF-17-ORNQY1J	-3.43099949878825	6.03461192673409	152.46757040354	2.28469223895463e-32	1.90391019912886e-29
tRF-23-7SERM492V	-3.28659416040047	6.18107153427202	151.474203991258	2.84971155473602e-32	2.02581485269227e-29
tRF-19-7SERM4JY	-3.5812249348727	5.74298732620148	155.005831483528	3.24130376430762e-32	2.02581485269227e-29
tRF-24-RNLNK88KHR	-3.46758834428991	6.20775055664825	150.264847285798	4.86778809434498e-32	2.70432671908055e-29
tRF-25-RNLNKSEK51	-3.50438780095264	6.62560999175549	146.582794021818	2.64080260592533e-31	1.32040130296267e-28
tRF-22-R95933JKF	-3.4195843877517	6.42942164049194	145.427973113282	3.92021584227548e-31	1.78027935370657e-28
tRF-30-6SM83O9EDJSY	-3.23608424289954	6.68595270163741	145.748977737754	4.27267044889577e-31	1.78027935370657e-28
tRF-22-7SERML921	-3.4369740259448	6.35536321816948	143.828737738107	7.68326307403433e-31	2.9551011823209e-28
tRF-22-R959KUMKH	-3.18279286805554	7.49871849888057	144.852475514585	1.6616994304767e-30	5.93464082313106e-28
tRF-21-7SIRMM12B	-3.36138884004363	6.43212815064959	140.436222128546	3.44887324721598e-30	1.14962441573866e-27
tRF-22-7SERM4921	-3.20459990172654	7.15099767676661	139.410595326565	1.09915573173392e-29	3.43486166166851e-27
tRF-20-R959KUMK	-3.29012054548182	6.9713581658566	138.120437666158	1.50458812915342e-29	4.27453125120417e-27
tRF-23-7SIRMM12V	-3.47930909639108	7.96886423548133	140.929294790859	1.5388312504335e-29	4.27453125120417e-27
tRF-19-OB9ZFHIW	-3.3834384637465	6.54296557299329	134.827289730812	4.18785844897643e-29	1.10206801288853e-26
tRF-22-R9O9337KF	-3.09156367456775	6.8329501698691	133.445321481311	1.05740945567562e-28	2.64352363918905e-26
tRF-17-7ZP33XJ	-3.29157292604554	5.67170158308773	133.708230829879	2.42540345496968e-28	5.77477013088019e-26
tRF-23-R959KUMK9	-2.99732167867748	9.29639114345895	132.671239757604	1.15149056761993e-27	2.61702401731802e-25
tRF-21-7SERM492B	-3.14273626255065	6.24168815181379	126.891491303168	1.26352424323391e-27	2.74679183311719e-25
tRF-21-YUYRLHR0D	-3.20395426518332	5.78159466955008	127.687340439225	1.61188466098155e-27	3.35809304371156e-25
tRF-18-RZXP8ZV	-3.11195139236721	6.46995175517182	126.165875744988	1.88959523198142e-27	3.77919046396285e-25
tRF-17-QR535Z5	-3.04819230577109	6.04491616526498	123.337264987134	6.34353345259317e-27	1.21991027934484e-24
tRF-20-U4307W5N	-3.16756922178602	5.72281181761293	121.776876061531	3.09025423280093e-26	5.72269302370542e-24
tRF-24-R9598LS7EV	-3.2382139201167	5.87704322873286	119.930465592492	3.68034480498024e-26	6.4517502626155e-24
tRF-28-68K87SERM404	-3.72512730244265	5.48583083370132	130.23146079744	3.74201515231699e-26	6.4517502626155e-24
tRF-17-0RYNUR2	-2.94634690992327	7.27508427140666	119.856002380496	6.08144966032648e-26	1.01272006967361e-23
tRF-21-R9O9337KB	-3.11082858365428	5.80253888894333	119.098223780726	6.27886443197641e-26	1.01272006967361e-23
tRF-23-7SIR3DR2DV	-3.57388046304141	9.09658926091622	123.414528703437	8.97685729418631e-26	1.40263395221661e-23
tRF-18-F9LKXN05	-2.92532347124337	6.51407615229651	116.997314008173	1.15771864992019e-25	1.75411916654575e-23
tRF-23-7SFR2W9JDV	-3.04971106846395	5.83317643004737	115.114171918261	3.12685590294538e-25	4.59831750433144e-23
tRF-25-RNLN4Q1RV1	-3.27733902029935	5.50130746210812	120.351757913322	3.50780970899541e-25	5.0111567271363e-23
tRF-23-R9O9337KR	-2.78653190141637	7.84707289890031	113.386917134757	1.61027285892717e-24	2.23649008184329e-22
tRF-19-R9O93324	-3.14132555896736	5.52540973929692	111.85712557916	7.27745086995245e-24	9.83439306750331e-22
tRF-25-6SM83O9EDJ	-2.88599002631444	8.08953665595861	109.327168990776	1.04814092136532e-23	1.37913279127016e-21
tRF-22-7SIR3DR2M	-3.18304245137347	8.24511358893272	109.888837162094	1.14738647623728e-23	1.47100830286831e-21
tRF-17-S7PVRSJ	-2.95545454742926	5.880803366492	106.50190488888	1.32726407590677e-23	1.65908009488346e-21
tRF-18-L13XZ5DJ	-2.97856140881067	6.8702073904688	106.47496728771	1.58268883594502e-23	1.93010833651832e-21
tRF-23-7SERML92V	-3.18165773769492	5.50943249115678	108.827663059154	3.1542043917479e-23	3.75500522827131e-21
tRF-24-R9O9337K0V	-3.01024962316535	5.59328665220088	106.352881163556	3.43399770717979e-23	3.9453894799221e-21
tRF-20-QR535Z8L	-2.7556576499738	7.79262930043803	106.209887885844	3.47194274233145e-23	3.9453894799221e-21
tRF-25-79MP9P9MH5	-2.6714364037142	7.12845290805116	103.359679754152	8.05449608461402e-23	8.94944009401558e-21
tRF-21-F9LKXNYQB	-2.63982922628874	7.48458228109096	102.190074792088	1.71115934727352e-22	1.85995581225382e-20
tRF-20-R9O9337K	-3.02636515645142	5.5638562807898	103.144981077432	1.77402584613472e-22	1.88726153844119e-20
tRF-29-9M739P8WQ0EB	-3.14646850141792	8.70640011675834	103.250382339723	2.79619809901195e-22	2.91270635313745e-20
tRF-20-WE8RO86J	-2.91757988286543	5.88007428009793	98.1113216616605	5.6484156467671e-22	5.76368943547663e-20
tRF-23-R95933JKR	-2.83369050802873	8.05943219492447	99.8171908051107	6.40050605339418e-22	6.40050605339418e-20
tRF-22-YUYRLHR0J	-3.01570977578349	5.53465243805977	99.9254309805435	7.7772711491663e-22	7.62477563643755e-20
tRF-26-93WEW6VM4JD	-3.18929557876562	5.39040562757807	105.694744077561	8.13024039683043e-22	7.81753884310618e-20
tRF-28-79MP9PMNH5DE	-2.73091895122721	6.43253756065381	97.0245332432816	8.98584500592585e-22	8.35705450786051e-20
tRF-17-R959KUK	-3.21791723693979	5.569196966819	99.9295076348524	9.02561886848935e-22	8.35705450786051e-20
