trf	gene	spearman_r	p_value	FDR	trf_logFC	gene_logFC	trf_FDR	gene_FDR	trf_direction	gene_direction	pair_type
tRF-23-79MP9P9MDD	MET	-0.380498400345704	2.00611856757472e-11	9.53909378881781e-08	-2.00846085850326	2.29474795529358	2.99091648532893e-17	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-25-79MP9P9MH5	MET	-0.307322979090833	9.25773106118982e-08	0.000146735037319859	-2.6714364037142	2.29474795529358	8.94944009401558e-21	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-26-79MP9P9MH50	MET	-0.288847235943939	5.59410404420395e-07	0.000507488579588808	-2.64244889560119	2.29474795529358	5.37976984729231e-19	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-30-FP18LPMBQ4NK	MET	-0.28740511053901	6.40364138282407e-07	0.000507488579588808	-1.34874402448844	2.29474795529358	3.7895031085487e-05	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-24-R959KUMKEV	MET	-0.278850637653341	1.40585165872685e-06	0.000764384682116647	-2.97766003052749	2.29474795529358	6.27744605490198e-19	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-26-RPM8309MUKD	MET	-0.278532951472493	1.44678488728703e-06	0.000764384682116647	-2.14723704317579	2.29474795529358	3.8589910507998e-13	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-24-6VR8K09LE9	MET	-0.274613231975541	2.05550909416075e-06	0.000821700287438911	-1.0390980637743	2.29474795529358	0.000536749211797292	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-21-7O58J0K8E	MET	-0.274514150194906	2.0736915771329e-06	0.000821700287438911	-1.84498665519423	2.29474795529358	1.94421495493774e-06	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-25-R959KUMKF6	MET	-0.269635503028658	3.18581909201812e-06	0.0010820406987533	-1.61842160300217	2.29474795529358	7.62264267635207e-12	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-30-R9JP9PMNH5SY	MET	-0.266033804509121	4.3508727084394e-06	0.00137922664857529	-1.16612763626233	2.29474795529358	0.000888983198812084	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-24-7W1R7HFEE2	MET	-0.262316541929886	5.97352118933202e-06	0.0016708290150161	-1.10814606860788	2.29474795529358	0.000359870769820312	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-30-E7ZPVOH30WUI	MET	-0.26028839259893	7.0870324054884e-06	0.00177362310989986	-1.34108945564713	2.29474795529358	0.000140811010354876	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-29-Q1Q89P9L84FS	MET	-0.259447178633064	7.60457308200366e-06	0.00180798725024637	-1.39542562685416	2.29474795529358	1.05863837252203e-06	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-30-79MP9PMNH5IS	MET	-0.254458051435392	1.14939069822163e-05	0.00248425125911085	-1.87308585344302	2.29474795529358	2.65827511997309e-10	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
tRF-23-4656OKZH0N	TERT	-0.252400916518886	1.35946392099167e-05	0.00278581316332541	1.06150548251344	5.71549743775811	0.0196920011992017	7.17569787642716e-06	Up	Up	tRF_Up__gene_Up
tRF-29-RPM830MMUK1W	MET	-0.250756258155714	1.55311762691471e-05	0.00295402972639178	-2.35617882465617	2.29474795529358	4.98985280225026e-14	2.73220083053621e-26	Down	Up	tRF_Down__gene_Up
